,id,teacher,course_name,teacher_course,assignment,test,in_group,attend,report
0,1,林偉淑,文學名篇選讀：愛戀與生活,林偉淑 - 文學名篇選讀：愛戀與生活,4.0,6.0,10,0.0,0.0
1,2,趙衛民,文學名篇選讀：愛戀與生活,趙衛民 - 文學名篇選讀：愛戀與生活,0.0,10.0,0,1.0,0.0
2,3,黃麗卿,文學名篇選讀：愛戀與生活,黃麗卿 - 文學名篇選讀：愛戀與生活,0.0,6.0,10,2.0,2.0
3,4,陳大道,文學名篇選讀：愛戀與生活(全英語授課),陳大道 - 文學名篇選讀：愛戀與生活(全英語授課),0.0,8.0,10,2.0,0.0
4,5,洪婕寧,文學名篇選讀：愛戀與生活(遠距非同步課程),洪婕寧 - 文學名篇選讀：愛戀與生活(遠距非同步課程),1.5,3.0,10,3.0,3.0
5,6,謝旻琪,文學名篇選讀  : 愛戀與生活,謝旻琪 - 文學名篇選讀  : 愛戀與生活,3.0,6.0,0,1.0,0.0
6,7,高柏園,文學名篇選讀：群己與生命,高柏園 - 文學名篇選讀：群己與生命,0.0,4.0,10,2.0,4.0
7,8,陳淑玲,文學名篇選讀：群己與生命,陳淑玲 - 文學名篇選讀：群己與生命,6.0,0.0,0,4.0,0.0
8,9,黃文倩,文學名篇選讀：群己與生命,黃文倩 - 文學名篇選讀：群己與生命,0.0,4.0,10,2.0,4.0
9,10,孟慶延,文學名篇選讀：群己與生命,孟慶延 - 文學名篇選讀：群己與生命,1.0,7.0,0,2.0,0.0
10,11,侯如綺,台灣文學選讀,侯如綺 - 台灣文學選讀,4.0,3.0,10,0.0,3.0
11,12,林淑瑩,科幻小說選讀,林淑瑩 - 科幻小說選讀,2.0,7.0,0,1.0,0.0
12,13,陳宜武,當代英美文學經典,陳宜武 - 當代英美文學經典,2.5,5.0,0,2.5,0.0
13,14,吳凱書,當代英美文學經典(全英語授課),吳凱書 - 當代英美文學經典(全英語授課),1.5,6.0,10,1.5,1.0
14,15,顧錦芬,日本文學中譯賞析,顧錦芬 - 日本文學中譯賞析,4.0,3.0,0,3.0,3.0
15,16,邱若山,日本文學中譯賞析,邱若山 - 日本文學中譯賞析,0.0,3.3,0,3.4,3.3
16,17,林盛彬,西班牙語文學經典賞析,林盛彬 - 西班牙語文學經典賞析,3.0,3.0,10,1.0,3.0
17,18,林郁嫺,德語文學名著選讀（一）,林郁嫺 - 德語文學名著選讀（一）,0.0,0.0,10,3.0,7.0
18,19,龔信賢,俄國文學經典入門,龔信賢 - 俄國文學經典入門,5.0,5.0,0,0.0,0.0
19,20,廖潤珮,法國文學、生活與文化,廖潤珮 - 法國文學、生活與文化,5.0,1.0,10,2.0,3.0
20,21,李建程,法國經典文學導讀,李建程 - 法國經典文學導讀,3.0,6.0,10,3.0,1.0
21,22,葉夌,村上春樹講座,葉夌 - 村上春樹講座,9.0,0.0,0,1.0,0.0
22,23,周偉弘,文學名篇選讀：群己與生命(進),周偉弘 - 文學名篇選讀：群己與生命(進),2.0,3.0,10,2.0,3.0
23,24,郝逸杰,中國歷史與人物,郝逸杰 - 中國歷史與人物,6.0,3.0,0,1.0,0.0
24,25,王心美,中國歷史與人物,王心美 - 中國歷史與人物,2.0,6.0,10,2.0,0.0
25,26,戴月芳,中國歷史與人物,戴月芳 - 中國歷史與人物,6.0,4.0,10,1.0,0.0
26,27,張志強,中國歷史與人物,張志強 - 中國歷史與人物,0.0,1.0,0,3.0,1.0
27,28,蔡忠志,中國歷史與人物,蔡忠志 - 中國歷史與人物,0.0,1.0,0,2.0,1.0
28,29,吳彥儒,中國歷史與人物,吳彥儒 - 中國歷史與人物,3.0,5.0,0,2.0,0.0
29,30,羅運治,近代史事叢譚,羅運治 - 近代史事叢譚,4.0,6.0,0,0.0,0.0
30,31,蔡育潞,西洋歷史與人物,蔡育潞 - 西洋歷史與人物,0.0,4.5,0,2.5,3.0
31,32,許琇媛,西洋歷史與人物,許琇媛 - 西洋歷史與人物,2.0,4.0,10,1.0,3.0
32,33,許琇媛,西洋歷史與人物(全英語授課),許琇媛 - 西洋歷史與人物(全英語授課),2.0,4.0,10,1.0,3.0
33,34,林嘉琪,西洋歷史與人物,林嘉琪 - 西洋歷史與人物,3.0,3.0,10,1.0,3.0
34,35,楊仲軒,西洋歷史與人物(全英語授課),楊仲軒 - 西洋歷史與人物(全英語授課),5.0,4.0,10,1.0,0.0
35,36,唐耀棕,西洋歷史與人物,唐耀棕 - 西洋歷史與人物,0.0,10.0,0,0.0,0.0
36,37,吳明勇,台灣歷史采風與踏查,吳明勇 - 台灣歷史采風與踏查,2.0,4.0,0,4.0,0.0
37,38,徐聖凱,台灣歷史采風與踏查,徐聖凱 - 台灣歷史采風與踏查,6.0,0.0,0,4.0,0.0
38,39,曾令毅,台灣歷史采風與踏查,曾令毅 - 台灣歷史采風與踏查,3.0,6.0,0,1.0,0.0
39,40,陳世芳,台灣歷史采風與踏查,陳世芳 - 台灣歷史采風與踏查,6.0,2.0,0,2.0,0.0
40,41,袁明道,台灣歷史采風與踏查,袁明道 - 台灣歷史采風與踏查,4.5,4.0,0,1.5,0.0
41,42,李月娥,台灣歷史采風與踏查,李月娥 - 台灣歷史采風與踏查,6.0,0.0,0,4.0,0.0
42,43,鄭睦群,台灣歷史采風與踏查,鄭睦群 - 台灣歷史采風與踏查,0.0,5.0,0,5.0,0.0
43,44,劉增泉,歐洲文化史,劉增泉 - 歐洲文化史,0.0,10.0,0,3.0,0.0
44,45,劉增泉,歐洲文化史(遠距非同步課程)(進),劉增泉 - 歐洲文化史(遠距非同步課程)(進),0.0,1.0,0,3.0,0.0
45,46,江豐兆,中國歷史與人物,江豐兆 - 中國歷史與人物,0.0,7.0,0,3.0,0.0
46,47,鄭丞良,中國歷史與人物,鄭丞良 - 中國歷史與人物,2.5,0.0,10,2.5,5.0
47,48,談士榮,中國歷史與人物,談士榮 - 中國歷史與人物,4.0,6.0,0,1.0,0.0
48,49,吳景傑,近代史事叢譚,吳景傑 - 近代史事叢譚,0.0,6.0,0,4.0,0.0
