teacher,course_no,sem,course_na,course_name,assignment,test,in_group,attend,report
林偉淑,3568,111-1,L,文學名篇選讀：愛戀與生活,4,6,1,0,0
趙衛民,3569,111-1,L,文學名篇選讀：愛戀與生活,0,10,0,1,0
黃麗卿,3570,111-1,L,文學名篇選讀：愛戀與生活,0,6,1,2,2
陳大道,3571,111-1,L,文學名篇選讀：愛戀與生活(全英語授課),0,8,1,2,0
洪婕寧,3572,111-1,L,文學名篇選讀：愛戀與生活(遠距非同步課程),1.5,3,1,3,3
謝旻琪,3573,111-1,L ,文學名篇選讀  : 愛戀與生活,3,6,0,1,0
高柏園,3574,111-1,L,文學名篇選讀：群己與生命,0,4,1,2,4
陳淑玲,3575,111-1,L,文學名篇選讀：群己與生命,6,0,0,4,0
黃文倩,3576,111-1,L,文學名篇選讀：群己與生命,0,4,1,2,4
孟慶延,3577,111-1,L,文學名篇選讀：群己與生命,1,7,0,2,0
侯如綺,3578,111-1,L,台灣文學選讀,4,3,1,0,3
林淑瑩,3579,111-1,L,科幻小說選讀,2,7,0,1,0
陳宜武,3580,111-1,L,當代英美文學經典,2.5,5,0,2.5,0
吳凱書,3581,111-1,L,當代英美文學經典(全英語授課),1.5,6,1,1.5,1
顧錦芬,3582,111-1,L,日本文學中譯賞析,4,3,0,3,3
邱若山,3583,111-1,L,日本文學中譯賞析,0,3.3,0,3.4,3.3
林盛彬,3584,111-1,L,西班牙語文學經典賞析,3,3,1,1,3
林郁嫺,3585,111-1,L,德語文學名著選讀（一）,0,0,1,3,7
龔信賢,3586,111-1,L,俄國文學經典入門,5,5,0,0,0
廖潤珮,3587,111-1,L,法國文學、生活與文化,5,1,1,2,3
李建程,3588,111-1,L,法國經典文學導讀,3,6,1,3,1
葉夌,3589,111-1,L,村上春樹講座,9,0,0,1,0
周偉弘,6353,111-1,L,文學名篇選讀：群己與生命(進),2,3,1,2,3
郝逸杰,3644,111-1,P,中國歷史與人物,6,3,0,1,0
王心美,3422,110-2,P,中國歷史與人物,2,6,1,2,0
戴月芳,3639,111-1,P,中國歷史與人物,6,4,1,1,0
張志強,3425,110-2,P,中國歷史與人物,0,1,0,3,1
蔡忠志,3426,110-2,P,中國歷史與人物,0,1,0,2,1
吳彥儒,3641,111-1,P,中國歷史與人物,3,5,0,2,0
羅運治,3428,110-2,P,近代史事叢譚,4,6,0,0,0
蔡育潞,3650,111-1,P,西洋歷史與人物,0,4.5,0,2.5,3
許琇媛,3431,110-2,P,西洋歷史與人物,2,4,0,1,3
許琇媛,3652,111-1,P,西洋歷史與人物(全英語授課),2,4,0,1,3
林嘉琪,3648,111-1,P,西洋歷史與人物,3,3,1,1,3
楊仲軒,3651,111-1,P,西洋歷史與人物(全英語授課),5,4,1,1,0
唐耀棕,3434,110-2,P,西洋歷史與人物,0,10,0,0,0
吳明勇,3435,110-2,P,台灣歷史采風與踏查,2,4,0,4,0
徐聖凱,3436,110-2,P,台灣歷史采風與踏查,6,0,0,4,0
曾令毅,3437,110-2,P,台灣歷史采風與踏查,3,6,0,1,0
陳世芳,3438,110-2,P,台灣歷史采風與踏查,6,2,0,2,0
袁明道,3653,111-1,P,台灣歷史采風與踏查,4.5,4,0,1.5,0
李月娥,3658,111-1,P,台灣歷史采風與踏查,6,0,0,4,0
鄭睦群,3656,111-1,P,台灣歷史采風與踏查,0,5,0,5,0
劉增泉,3638,111-1,P,歐洲文化史,0,10,0,3,0
劉增泉,6350,111-1,P,歐洲文化史(遠距非同步課程)(進),0,1,0,3,0
江豐兆,3640,111-1,P,中國歷史與人物,0,7,0,3,0
鄭丞良,3642,111-1,P,中國歷史與人物,2.5,0,1,2.5,5
談士榮,3643,111-1,P,中國歷史與人物,4,6,0,1,0
吳景傑,3647,111-1,P,近代史事叢譚,0,6,0,4,0
黃家廉,3646,111-1,P,近代史事叢譚,0,6,0,3,0
陳省身,3659,111-1,P,台灣歷史采風與踏查,2.5,5,1,2.5,0
王志銘,3827,111-1,V,哲學概論,10,0,0,0,0
王志銘,3831,111-1,V,哲學經典導讀,10,0,0,0,0
王志銘,3846,111-1,V,美學－理論與實務,10,0,0,0,0
王靈康,3618,110-2,V,哲學經典導讀,1,8,0,1,0
王靈康,3829,111-1,V,哲學概論,1,8,0,1,0
王靈康,3840,111-1,V,職業倫理,1,8,0,1,0
林宸安,3616,110-2,V,哲學概論,1,8,0,1,0
林宸安,3825,111-1,V,倫理學(全英語授課),1.5,3.5,1,1.5,3.5
徐佐銘,3830,111-1,V,醫學倫理,8,0,0,2,0
徐佐銘,3838,111-1,V,環境倫理,8,0,0,2,0
徐佐銘,3841,111-1,V,性愛的文學與哲學,8,0,0,2,0
徐佐銘,6361,111-1,V,環境倫理(進),8,0,0,2,0
蘇富芝,3832,111-1,V,哲學經典導讀,6,0,1,0,4
許樹和,3621,110-2,V,哲學經典導讀,2,7,0,1,0
陳杏枝,3622,110-2,V,宗教概論,2.5,5,1,0,2.5
陳杏枝,3834,111-1,V,宗教概論(全英語授課),2.5,5,1,0,2.5
陳杏枝,3849,111-1,V,台灣宗教,2.5,5,1,0,2.5
李峰銘,6347,110-2,V,宗教概論(進),2.5,0,0,2.5,5
李峰銘,3835,111-1,V,宗教經典導讀,2.5,0,0,2.5,5
鄭鈞瑋,3836,111-1,V,生死學,5.5,2.5,0,2,0
楊濟鶴,3631,110-2,V,邏輯與哲學(雙語授課(中文/英文)),2,7,1,1,0
楊濟鶴,3843,111-1,V,邏輯與哲學,2,7,1,1,0
洪雨婷,3848,111-1,V,美學－理論與實務(全英語授課),3,3,1,2,2
劉亞蘭,3851,111-1,V,性別理論與實踐,7,0,0,3,0
鄭合修,3833,111-1,V,哲學經典導讀,2,5,0,3,0
李志成,3837,111-1,V,生死學,5,4,0,1,0
林怡仲,3844,111-1,V,邏輯與哲學,0,8.5,0,1.5,0
劉韋廷,3850,111-1,V,台灣宗教,2,3,1,2,3
王蔚婷,6360,111-1,V,宗教概論(蘭陽校園上課)(進),10,0,1,0,0
陳慧勻,3370,110-2,M,臺灣劇場講座,5,3,0,2,0
陳慧勻,3388,110-2,M,淡水新篇章－生態與人文地圖,8,0,1,2,0
陳慧勻,3591,111-1,M,表演藝術,3,2,1,2,3
陳慧勻,3592,111-1,M,表演藝術(全英語授課),3,2,1,2,3
陳慧勻,3612,111-1,M,從文本到舞台─讀劇概論,3,2,1,2,3
吳文琪,3366,110-2,M,表演藝術(全英語授課),5,0,1,2,3
吳文琪,3594,111-1,M,表演藝術,5,0,1,2,3
吳文琪,3611,111-1,M,身體語言與舞蹈藝術,4.5,0,1,2.5,3
吳文琪,3615,111-1,M,身體語言與環境探索,3.5,0,1,3.5,3
干詠穎,3597,111-1,M,音樂概論,4,2.5,0,1,2.5
干詠穎,3599,111-1,M,世界名曲賞析與詮釋,4,2.5,0,1,2.5
謝朝鐘,3371,110-2,M,數位藝術概論(雙語授課(中文/英文)),8,0,1,2,0
謝朝鐘,3380,110-2,M,音樂與藝術的對話,8,0,1,2,0
王淑堯,6346,111-1,M,西洋歌劇欣賞入門,6.5,0,1,0.5,0
戴佳茹,3376,110-2,M,造型藝術中的基礎素描技法,5,0,0,5,0
戴佳茹,3610,111-1,M,藝術與人生－與大師對話,10,0,0,0,0
戴佳茹,3614,111-1,M,歐洲文化藝術行旅(遠距非同步課程),10,0,0,0,0
林俊賢,3387,110-2,M,新媒體藝術概論,4,0,1,3,3
李珮瑜,3607,111-1,M,鋼琴藝術與生活,2,4,0,0,4
李珮瑜,3608,111-1,M,音樂與藝術的對話,6,4,0,0,0
李珮瑜,3609,111-1,M,音樂與藝術的對話(全英語授課),6,4,0,0,0
林鄉雨,3601,111-1,M,西洋歌劇欣賞入門(全英語授課),5,0,1,0,5
沈禎,3602,111-1,M,書法藝術的應用,8,0,0,2,0
謝諭,3603,111-1,M,造型藝術中的基礎素描技法(全英語授課),3,0,0,2,5
楊春森,3604,111-1,M,造型藝術中的基礎素描技法,6,2,0,2,0
翁瑋鴻,6345,111-1,M,表演藝術－傳統戲曲賞析,3,2,1,2,3
林妙鏗,6347,111-1,M,藝術與人生(蘭陽校園上課),4,6,0,0,0
徐博正,6348,111-1,M,藝術與人生(蘭陽校園上課),3,6,0,1,0
林　立,3774,1111,T,世界人權問題,4,4,0,2,0
林　立,3785,1111,T,文化全球化,4,4,0,2,0
唐裕安,3775,1111,T,國際現勢(全英語授課),0,5,10,1,4
崔　琳,3776,1111,T,國際現勢,0,6,0,4,0
崔　琳,3786,1111,T,文化全球化,0,6,0,4,0
馬準威,3782,1111,T,國際現勢,5,3,0,2,0
徐浤馨,3779,1111,T,國際現勢(遠距非同步課程),5,0,0,5,0
徐浤馨,3787,1111,T,東亞與世界,5,0,0,5,0
林穎佑,3780,1111,T,國際現勢,0,3,10,3,4
林穎佑,6357,1111,T,國際現勢(進),0,3,10,3,4
歐陽睿,3781,1111,T,國際現勢(全英語授課),2,7,0,1,0
歐陽睿,6356,1111,T,國際現勢(進),2,7,0,1,0
張福昌,3784,1111,T,歐洲聯盟與歐洲統合,2,6,0,2,0
張五岳,3788,1111,T,全球體系與兩岸關係,3,4,10,3,0
陳建甫,3789,1111,T,全球體系與兩岸關係,6,0,10,1,3
胡慶山,3790,1111,T,全球體系與兩岸關係(全英語授課),0,2,10,1,7
洪耀南,4327,1111,T,全球體系與兩岸關係,3,3,10,1,3
陳逸青,3791,1111,T,經濟全球化,4,0,10,2,4
李文基,3792,1111,T,經濟全球化,2,3,10,1,4
蔡錫勳,3793,1111,T,經濟全球化,0,6,0,4,0
李志強,3794,1111,T,經濟全球化,0,8,0,2,0
小山直則,3796,1111,T,經濟全球化,0,6,0,1,3
黃富娟,3798,1111,T,美洲現勢,5,0,10,0,5
宮國威,3799,1111,T,美洲現勢,5,3,0,2,0
霍珍妮,4319,1111,T,國際非政府組織(全英語授課),1,0,10,3,6
黃介正,3800,1111,T,台灣戰略地位,7,3,10,0,0
薛曉華,3717,1111,R,教育未來,6,0,10,0,4
陳錫珍,3719,1111,R,教育未來,2,2,10,2,4
陳思思,3720,1111,R,教育未來,10,0,0,0,0
陳思思,3731,1111,R,社會未來(全英語授課),10,0,0,0,0
簡義杰,3721,1111,R,環境未來,2,4,10,1,3
張保興,3722,1111,R,環境未來,10,0,10,0,0
康世芳,3723,1111,R,環境未來,0,7,0,3,0
高思懷,3724,1111,R,環境未來,0,4,0,1.6,4.4
洪耀南,3725,1111,R,環境未來,6,2,10,2,0
艾之涵,3726,1111,R,環境未來(全英語授課),5,0,10,1,4
王貞靜,3727,1111,R,經濟未來,1.5,5,10,1.5,2
鄧玉英,3728,1111,R,經濟未來,5,0,10,2,3
鄧玉英,3749,1111,R,經濟未來—長壽趨勢與高齡經濟,5,0,10,2,3
邱俊達,3729,1111,R,社會未來,2,0,10,3,5
劉玉儀,3730,1111,R,社會未來,1,8,0,1,0
史城均,3732,1111,R,社會未來(全英語授課),8,0,0,2,0
王伯昌,3738,1111,R,科技未來,7,0,0,3,0
范素玲,3740,1111,R,科技未來(遠距非同步課程),7,3,0,0,0
張朝欽,3741,1111,R,科技未來,8,0,0,2,0
紀舜傑,3742,1111,R,政治未來,1,4,10,2,3
紀舜傑,3747,1111,R,社會未來-運動文化趨勢,1,4,10,2,3
江素慧,3744,1111,R,政治未來,0,7.5,0,2.5,0
邱俊達,3746,1111,R,社會未來-城市未來(雙語授課(中文/英文)),6,0,10,2,2
周湘華,6354,1111,R,政治未來,1,6,0,1.5,1.5
陳杏枝,3852,1111,W,台灣社會與文化,5.5,4.5,10,0,0
胡延薇,3853,1111,W,人際關係與溝通,1,3,0,3,3
胡延薇,3879,1111,W,幸福的理性與感性,1,3,0,3,3
鄧玉英,3855,1111,W,經濟學概論,5,2,10,3,0
宋鴻燕,3857,1111,W,正向心理學,7,0,0,0,3
韓貴香,3859,1111,W,社會心理學,3,5,0,2,0
韓貴香,3872,1111,W,心理學導論,3,5,0,2,0
黃奕琳,3861,1111,W,人權與社會正義,3,7,10,0,0
黃奕琳,3877,1111,W,政治學概論,3,7,0,0,0
黃奕琳,3880,1111,W,政治心理學,3,7,0,0,0
林楚淇,3862,1111,W,人權與社會正義,1,7,0,2,0
藍毓華,3863,1111,W,媒體與傳播文化,4,0,10,2,4
藍毓華,3865,1111,W,社會變遷與社會教育,4,0,0,2,4
藍毓華,3881,1111,W,數位環境與媒體新素養,4,0,0,2,4
黃文智,3866,1111,W,戰爭與人性,0,5,10,1,4
鄧玉英,3867,1111,W,幸福經濟學,3,2,10,2,3
宋鴻燕,3869,1111,W,發展心理學概論,7,3,0,0,0
林怡君,3871,1111,W,發展心理學概論(遠距非同步課程),2.5,3,10,1.5,3
胡延薇,3873,1111,W,心理學導論,1,3,10,3,3
劉玉儀,3876,1111,W,社會學導論(全英語授課),0,2,10,3,5
周文卿,3878,1111,W,生活與財經(雙語授課(中文/英文)),2,0,10,2,6
劉素鳳,6362,1111,W,性別與社會(進),3.5,2.5,0,1.5,2.5
毛莉雯,6363,1111,W,健康行銷(進),8,0,10,2,0
黃寄倫,3750,1111,S,科技社會與公民參與,4,4,10,2,0
戴政龍,3751,1111,S,科技社會與公民參與,3.6,5,0,1.4,0
呂其昌,3753,1111,S,企業與法律,3,7,0,0,0
涂予尹,3755,1111,S,生活與法律,10,0,0,0,0
張景台,3757,1111,S,民主政治,2,7,10,1,0
張景台,3773,1111,S,非營利組織與全球議題,2,7,10,1,0
湯文淵,3758,1111,S,民主政治,0,7,10,1.5,1.5
蕭怡靖,3759,1111,S,民主政治,1,8,0,1,0
梁家恩,3760,1111,S,民主政治(全英語授課),3,6,0,1,0
周應龍,3761,1111,S,公民社會(雙語授課(中文/英文)),0,9,0,1,0
陳進郁,3762,1111,S,公民社會,1.5,6,0,1.5,1
楊綿傑,3763,1111,S,公民社會,0,5,10,1.5,3.5
安　娜,3764,1111,S,公民文化(全英語授課),6.5,3,0,0.5,0
