,teacher_course,assignment,report,test,in_group,attend
1,林偉淑 : 文學名篇選讀：愛戀與生活,4,0,6,1,0
2,趙衛民 : 文學名篇選讀：愛戀與生活,0,0,10,0,1
3,黃麗卿 : 文學名篇選讀：愛戀與生活,0,2,6,1,2
4,陳大道 : 文學名篇選讀：愛戀與生活(全英語授課),0,0,8,1,2
5,洪婕寧 : 文學名篇選讀：愛戀與生活(遠距非同步課程),1.5,3,3,1,3
6,謝旻琪 : 文學名篇選讀  : 愛戀與生活,3,0,6,0,1
7,高柏園 : 文學名篇選讀：群己與生命,0,4,4,1,2
8,陳淑玲 : 文學名篇選讀：群己與生命,6,0,0,0,4
9,黃文倩 : 文學名篇選讀：群己與生命,0,4,4,1,2
10,孟慶延 : 文學名篇選讀：群己與生命,1,0,7,0,2
11,侯如綺 : 台灣文學選讀,4,3,3,1,0
12,林淑瑩 : 科幻小說選讀,2,0,7,0,1
13,陳宜武 : 當代英美文學經典,2.5,0,5,0,2.5
14,吳凱書 : 當代英美文學經典(全英語授課),1.5,1,6,1,1.5
15,顧錦芬 : 日本文學中譯賞析,4,3,3,0,3
16,邱若山 : 日本文學中譯賞析,0,3.3,3.3,0,3.4
17,林盛彬 : 西班牙語文學經典賞析,3,3,3,1,1
18,林郁嫺 : 德語文學名著選讀（一）,0,7,0,1,3
19,龔信賢 : 俄國文學經典入門,5,0,5,0,0
20,廖潤珮 : 法國文學、生活與文化,5,3,1,1,2
21,李建程 : 法國經典文學導讀,3,1,6,1,3
22,葉夌 : 村上春樹講座,9,0,0,0,1
23,周偉弘 : 文學名篇選讀：群己與生命(進),2,3,3,1,2
24,郝逸杰 : 中國歷史與人物,6,0,3,0,1
25,王心美 : 中國歷史與人物,2,0,6,1,2
26,戴月芳 : 中國歷史與人物,6,0,4,1,1
27,張志強 : 中國歷史與人物,0,1,1,0,3
28,蔡忠志 : 中國歷史與人物,0,1,1,0,2
29,吳彥儒 : 中國歷史與人物,3,0,5,0,2
30,羅運治 : 近代史事叢譚,1,0,1,0,1
31,蔡育潞 : 西洋歷史與人物,1,1,1,0,2
32,許琇媛 : 西洋歷史與人物,0,1,1,1,3
33,許琇媛 : 西洋歷史與人物(全英語授課),0,1,1,1,3
34,林嘉琪 : 西洋歷史與人物,3,3,3,1,1
35,楊仲軒 : 西洋歷史與人物(全英語授課),5,0,4,1,1
36,唐耀棕 : 西洋歷史與人物,0,0,10,0,0
37,吳明勇 : 台灣歷史采風與踏查,2,0,4,0,4
38,徐聖凱 : 台灣歷史采風與踏查,6,0,0,0,4
39,曾令毅 : 台灣歷史采風與踏查,3,0,6,0,1
40,陳世芳 : 台灣歷史采風與踏查,6,0,2,0,2
41,袁明道 : 台灣歷史采風與踏查,4.5,0,4,0,1.5
42,李月娥 : 台灣歷史采風與踏查,6,0,0,0,4
43,鄭睦群 : 台灣歷史采風與踏查,0,0,5,0,5
44,劉增泉 : 歐洲文化史,0,0,10,0,3
45,劉增泉 : 歐洲文化史(遠距非同步課程)(進),0,0,1,0,3
46,江豐兆 : 中國歷史與人物,0,0,7,0,3
47,鄭丞良 : 中國歷史與人物,2.5,5,0,1,2.5
48,談士榮 : 中國歷史與人物,4,0,6,0,1
49,吳景傑 : 近代史事叢譚,0,0,6,0,4
50,黃家廉 : 近代史事叢譚,0,0,6,0,3
51,陳省身 : 台灣歷史采風與踏查,2.5,0,5,1,2.5
52,王志銘 : 哲學概論,10,0,0,0,0
53,王志銘 : 哲學經典導讀,10,0,0,0,0
54,王志銘 : 美學－理論與實務,10,0,0,0,0
55,王靈康 : 哲學經典導讀,1,0,8,0,1
56,王靈康 : 哲學概論,1,0,8,0,1
57,王靈康 : 職業倫理,1,0,8,0,1
58,林宸安 : 哲學概論,1,0,8,0,1
59,林宸安 : 倫理學(全英語授課),1.5,3.5,3.5,1,1.5
60,徐佐銘 : 醫學倫理,8,0,0,0,2
61,徐佐銘 : 環境倫理,8,0,0,0,2
62,徐佐銘 : 性愛的文學與哲學,8,0,0,0,2
63,徐佐銘 : 環境倫理(進),8,0,0,0,2
64,蘇富芝 : 哲學經典導讀,6,4,0,1,0
65,許樹和 : 哲學經典導讀,2,0,7,0,1
66,陳杏枝 : 宗教概論,2.5,2.5,5,1,0
